Sample Chr Start LTR Strand End Distance Intron/Exon/Distance Ref_ID Gene Strand TxStart TxEnd
PT3_Y7.2 chr22 30515408 3' > 30515277 131 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515282 126 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515286 122 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515290 118 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515296 112 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515300 108 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515304 104 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515308 100 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515314 94 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515318 90 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515324 84 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515329 79 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515339 69 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515343 65 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515347 61 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515351 57 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515356 52 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515360 48 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515365 43 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515369 39 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515374 34 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30515408 3' > 30515382 26 intron NM_152510 HORMAD2 + 30476452 30573062
PT3_Y7.2 chr22 30555480 3' + 30555654 174 intron NM_152510 HORMAD2 + 30476452 30573062
